Company,Title,Location,Salary
Washington University in St. Louis,Statistical Data Analyst II - Brown School - Health Communic...,"St. Louis, MO+3 locations","$45,800 - $75,900 a year"
National Older Worker Career Center,Programmer/Survey Statistician,"Olivette, MO","$72,800 a year"
Washington University in St. Louis,Statistical Data Analyst III - Brown School,"St. Louis, MO","$53,900 - $92,200 a year"
Washington University in St. Louis,Statistical Data Analyst - Neurology,"St. Louis, MO","$45,800 - $75,900 a year"
247 Global Recruit,"Sr Data Analyst (Data domain, SQL queries)","Columbus, OH","$57,373 - $128,980 a year"
Falcon School District 49,Senior Systems & Data Analyst (Business & Operations),"Falcon, CO","$74,532 a year"
JM Talent Inc.,Sr. Data Science Developer / Analyst,Colorado•Remote,"From $100,000 a year"
Teladoc Health,"Data Scientist, Client Analytics","Denver, CO+3 locations","$95,000 - $125,000 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Denver, CO+7 locations","$119,300 - $160,000 a year"
OnPoint,Senior Data Scientist,"Louisville, CO 80027+1 location","$100,000 - $160,000 a year"
Battelle,Microbial Bioinformatician,"Boulder, CO 80301","$101,500 - $140,000 a year"
Workday,"Manager, Machine Learning Engineering","Boulder, CO 80301","$141,200 a year"
